Index,Datum,Jahrzehnt
0,1991-12-05 22:36:02,1990
1,1991-12-05 22:40:02,1990
2,1991-12-05 22:44:02,1990
3,1991-12-05 22:48:02,1990
4,1991-12-05 22:52:02,1990
5,1991-12-05 22:56:02,1990
6,1991-12-05 23:00:03,1990
7,1991-12-05 23:04:03,1990
8,1991-12-05 23:08:03,1990
9,1991-12-05 23:12:03,1990
10,1991-12-05 23:16:03,1990
11,1991-12-05 23:20:04,1990
12,1991-12-05 23:24:04,1990
13,1991-12-05 23:28:04,1990
14,1991-12-05 23:32:04,1990
15,1991-12-05 23:36:04,1990
16,1991-12-05 23:40:04,1990
17,1991-12-05 23:44:05,1990
18,1991-12-05 23:48:05,1990
19,1991-12-05 23:52:05,1990
20,1991-12-05 23:56:05,1990
21,1991-12-06 00:00:05,1990
22,1991-12-06 00:05:00,1990
23,1991-12-06 00:09:00,1990
24,1991-12-06 00:13:00,1990
25,1991-12-06 00:17:00,1990
26,1991-12-06 00:21:00,1990
27,1991-12-06 00:25:00,1990
28,1991-12-06 00:29:01,1990
29,1991-12-06 00:33:01,1990
30,1991-12-06 00:37:01,1990
31,1991-12-06 00:41:01,1990
32,1991-12-06 00:45:01,1990
33,1991-12-06 00:49:01,1990
34,1991-12-06 00:53:02,1990
35,1991-12-06 00:57:02,1990
36,1991-12-06 01:01:02,1990
37,1991-12-06 01:05:02,1990
38,1991-12-06 01:09:02,1990
39,1991-12-06 01:13:03,1990
40,1991-12-06 01:17:03,1990
41,1991-12-06 01:21:03,1990
42,1991-12-06 01:25:03,1990
43,1991-12-06 01:29:03,1990
44,1991-12-06 01:33:03,1990
45,1991-12-06 01:37:04,1990
46,1991-12-06 01:41:04,1990
47,1991-12-06 01:45:04,1990
48,1991-12-06 01:49:04,1990
49,1991-12-06 01:53:04,1990
50,1991-12-06 01:57:05,1990
51,1991-12-06 02:01:05,1990
52,1991-12-06 02:05:05,1990
53,1991-12-06 02:09:05,1990
54,1991-12-06 02:13:05,1990
55,1991-12-06 02:17:05,1990
56,1991-12-06 02:22:00,1990
57,1991-12-06 02:26:00,1990
58,1991-12-06 02:30:00,1990
59,1991-12-06 02:34:00,1990
60,1991-12-06 02:38:00,1990
61,1991-12-06 02:42:01,1990
62,1991-12-06 02:46:01,1990
63,1991-12-06 02:50:01,1990
64,1991-12-06 02:54:01,1990
65,1991-12-06 02:58:01,1990
66,1991-12-06 03:02:01,1990
67,1991-12-06 03:06:02,1990
68,1991-12-06 03:10:02,1990
69,1991-12-06 03:14:02,1990
70,1991-12-06 03:18:02,1990
71,1991-12-06 03:22:02,1990
72,1991-12-06 03:30:03,1990
73,1991-12-06 03:34:03,1990
74,1991-12-06 03:42:03,1990
75,1991-12-06 03:46:03,1990
76,1991-12-06 03:50:04,1990
77,1991-12-06 03:54:04,1990
78,1991-12-06 03:58:04,1990
79,1991-12-06 04:02:04,1990
80,1991-12-06 04:06:04,1990
81,1991-12-06 04:10:04,1990
82,1991-12-06 04:14:05,1990
83,1991-12-06 04:18:05,1990
84,1991-12-06 04:22:05,1990
85,1991-12-06 04:26:05,1990
86,1991-12-06 04:30:05,1990
87,1991-12-06 04:35:00,1990
88,1991-12-06 04:39:00,1990
89,1991-12-06 04:43:00,1990
90,1991-12-06 04:47:00,1990
91,1991-12-06 04:51:00,1990
92,1991-12-06 04:55:00,1990
93,1991-12-06 04:59:01,1990
94,1991-12-06 05:03:01,1990
95,1991-12-06 05:07:01,1990
96,1991-12-06 05:11:01,1990
97,1991-12-06 05:15:01,1990
98,1991-12-06 05:19:01,1990
99,1991-12-06 05:23:02,1990
100,1991-12-06 05:27:02,1990
101,1991-12-06 05:31:02,1990
102,1991-12-06 05:35:02,1990
103,1991-12-06 05:39:02,1990
104,1991-12-06 05:43:03,1990
105,1991-12-06 05:47:03,1990
106,1991-12-06 05:51:03,1990
107,1991-12-06 05:55:03,1990
108,1991-12-06 05:59:03,1990
109,1991-12-06 06:03:03,1990
110,1991-12-06 06:07:04,1990
111,1991-12-06 06:11:04,1990
112,1991-12-06 06:15:04,1990
113,1991-12-06 06:19:04,1990
114,1991-12-06 06:23:04,1990
115,1991-12-06 06:27:05,1990
116,1991-12-06 06:31:05,1990
117,1991-12-06 06:35:05,1990
118,1991-12-06 06:39:05,1990
119,1991-12-06 06:43:05,1990
120,1991-12-06 06:47:05,1990
121,1991-12-06 06:52:00,1990
122,1991-12-06 06:56:00,1990
123,1991-12-06 07:00:00,1990
124,1991-12-06 07:04:00,1990
125,1991-12-06 07:08:00,1990
126,1991-12-06 07:12:00,1990
127,1991-12-06 07:16:01,1990
128,1991-12-06 07:20:01,1990
129,1991-12-06 07:24:01,1990
130,1991-12-06 07:28:01,1990
131,1991-12-06 07:32:01,1990
132,1991-12-06 07:36:02,1990
133,1991-12-06 07:40:02,1990
134,1991-12-06 07:48:02,1990
135,1991-12-06 07:52:02,1990
136,1991-12-06 07:56:02,1990
137,1991-12-06 08:00:03,1990
138,1991-12-06 08:04:03,1990
139,1991-12-06 08:08:03,1990
140,1991-12-06 08:12:03,1990
141,1991-12-06 08:16:03,1990
142,1991-12-06 08:20:04,1990
143,1991-12-06 08:24:04,1990
144,1991-12-06 08:28:04,1990
145,1991-12-06 08:32:04,1990
146,1991-12-06 08:36:04,1990
147,1991-12-06 08:40:04,1990
148,1991-12-06 08:44:05,1990
149,1991-12-06 08:48:05,1990
150,1991-12-06 08:52:05,1990
151,1991-12-06 08:56:05,1990
152,1991-12-06 09:00:05,1990
153,1991-12-06 09:04:05,1990
154,1991-12-06 09:09:00,1990
155,1991-12-06 09:13:00,1990
156,1991-12-06 09:17:00,1990
157,1991-12-06 09:21:00,1990
158,1991-12-06 09:25:00,1990
159,1991-12-06 09:29:01,1990
160,1991-12-06 09:33:01,1990
161,1991-12-06 09:37:01,1990
162,1991-12-06 09:41:01,1990
163,1991-12-06 09:45:01,1990
164,1991-12-06 09:49:01,1990
165,1991-12-06 09:53:02,1990
166,1991-12-06 09:57:02,1990
167,1991-12-06 10:01:02,1990
168,1991-12-06 10:05:02,1990
169,1991-12-06 10:09:02,1990
170,1991-12-06 10:13:03,1990
171,1991-12-06 10:17:03,1990
172,1991-12-06 10:21:03,1990
173,1991-12-06 10:25:03,1990
174,1991-12-06 10:29:03,1990
175,1991-12-06 10:33:03,1990
176,1991-12-06 10:37:04,1990
177,1991-12-06 10:41:04,1990
178,1991-12-06 10:45:04,1990
179,1991-12-06 10:49:04,1990
180,1991-12-06 10:53:04,1990
181,1991-12-06 10:57:04,1990
182,1991-12-06 11:01:05,1990
183,1991-12-06 11:05:05,1990
184,1991-12-06 11:09:05,1990
185,1991-12-06 11:13:05,1990
186,1991-12-06 11:17:05,1990
187,1991-12-06 11:22:00,1990
188,1991-12-06 11:26:00,1990
189,1991-12-06 11:30:00,1990
190,1991-12-06 11:34:00,1990
191,1991-12-06 11:38:00,1990
192,1991-12-06 11:42:00,1990
193,1991-12-06 11:46:01,1990
194,1991-12-06 11:50:01,1990
195,1991-12-06 11:54:01,1990
196,1991-12-06 11:58:01,1990
197,1991-12-06 12:02:01,1990
198,1991-12-06 12:06:02,1990
199,1991-12-06 12:10:02,1990
200,1991-12-06 12:14:02,1990
201,1991-12-06 12:18:02,1990
202,1991-12-06 12:22:02,1990
203,1991-12-06 12:26:02,1990
204,1991-12-06 12:30:03,1990
205,1991-12-06 12:34:03,1990
206,1991-12-06 12:38:03,1990
207,1991-12-06 12:42:03,1990
208,1991-12-06 12:46:03,1990
209,1991-12-06 12:50:03,1990
210,1991-12-06 12:54:04,1990
211,1991-12-06 12:58:04,1990
212,1991-12-06 13:02:04,1990
