Index,Datum,Jahrzehnt
0,1982-02-14 00:00:00,1980
1,1989-02-14 00:00:00,1980
2,1985-02-14 00:00:00,1980
3,1980-02-14 00:00:00,1980
4,1986-02-14 00:00:00,1980
5,1986-02-14 00:00:00,1980
6,1983-02-14 00:00:00,1980
7,1983-02-14 00:00:00,1980
8,1987-02-14 00:00:00,1980
9,1981-06-03 08:30:04,1980
10,1981-06-03 08:38:02,1980
11,1981-06-03 08:46:00,1980
12,1981-06-03 08:53:03,1980
13,1981-06-03 09:01:01,1980
14,1981-06-03 09:08:05,1980
15,1981-06-03 09:16:02,1980
16,1981-06-03 09:24:00,1980
17,1981-06-03 09:31:04,1980
18,1981-06-03 09:39:01,1980
19,1981-06-03 09:46:05,1980
20,1981-06-03 09:54:03,1980
21,1981-06-03 10:02:00,1980
22,1981-06-03 10:09:04,1980
23,1981-06-03 10:17:01,1980
24,1981-06-03 10:24:05,1980
25,1981-06-03 10:32:03,1980
26,1981-06-03 10:40:00,1980
27,1981-06-03 10:47:04,1980
28,1981-06-03 10:55:02,1980
29,1981-06-03 11:02:05,1980
30,1981-06-03 11:10:03,1980
31,1981-06-03 11:18:01,1980
32,1981-06-03 11:25:04,1980
33,1981-06-03 11:33:02,1980
34,1981-06-03 11:40:05,1980
35,1981-06-03 11:48:03,1980
36,1981-06-03 11:56:01,1980
37,1981-06-03 12:03:04,1980
38,1981-06-03 12:11:02,1980
39,1981-06-03 12:19:00,1980
40,1981-06-03 12:26:03,1980
41,1981-06-03 12:34:01,1980
42,1981-06-03 12:41:05,1980
43,1981-06-03 12:49:02,1980
44,1981-06-03 12:57:00,1980
45,1981-06-03 13:04:04,1980
46,1981-06-03 13:12:01,1980
47,1981-06-03 13:19:05,1980
48,1981-06-03 13:27:02,1980
49,1981-06-03 13:35:00,1980
50,1981-06-03 13:42:04,1980
51,1981-06-03 13:50:01,1980
52,1981-06-03 13:57:05,1980
53,1981-06-03 14:05:03,1980
54,1981-06-03 14:13:00,1980
55,1981-06-03 14:20:04,1980
56,1981-06-03 14:28:02,1980
57,1981-06-03 14:35:05,1980
58,1981-06-03 14:43:03,1980
59,1981-06-03 14:51:01,1980
60,1981-06-03 14:58:04,1980
61,1981-06-03 15:06:02,1980
62,1981-06-03 15:13:05,1980
63,1981-06-03 15:21:03,1980
64,1981-06-03 15:29:01,1980
65,1981-06-03 15:36:04,1980
66,1981-06-03 15:44:02,1980
67,1981-06-03 15:52:00,1980
68,1981-06-03 15:59:03,1980
69,1981-06-03 16:07:01,1980
70,1981-06-03 16:14:05,1980
71,1981-06-03 16:22:02,1980
72,1981-06-03 16:30:00,1980
73,1981-06-03 16:37:04,1980
74,1981-06-03 16:45:01,1980
75,1981-06-03 16:52:05,1980
76,1981-06-03 17:00:02,1980
77,1981-06-03 17:08:00,1980
78,1981-06-03 17:15:04,1980
79,1981-06-03 17:23:01,1980
80,1981-06-03 17:30:05,1980
81,1981-06-03 17:38:03,1980
82,1981-06-03 17:46:00,1980
83,1981-06-03 17:53:04,1980
84,1981-06-03 18:01:02,1980
85,1981-06-03 18:08:05,1980
86,1981-06-03 18:16:03,1980
87,1981-06-03 18:24:00,1980
88,1981-06-03 18:31:04,1980
89,1981-06-03 18:39:02,1980
90,1981-06-03 18:46:05,1980
91,1981-06-03 18:54:03,1980
92,1981-06-03 19:02:01,1980
93,1981-06-03 19:09:04,1980
94,1981-06-03 19:17:02,1980
95,1981-06-03 19:25:00,1980
96,1981-06-03 19:32:03,1980
97,1981-06-03 19:40:01,1980
98,1981-06-03 19:47:05,1980
99,1981-06-03 19:55:02,1980
100,1981-06-03 20:03:00,1980
101,1981-06-03 20:10:03,1980
102,1981-06-03 20:18:01,1980
103,1981-06-03 20:25:05,1980
104,1981-06-03 20:33:02,1980
105,1981-06-03 20:41:00,1980
106,1981-06-03 20:48:04,1980
107,1981-06-03 20:56:01,1980
108,1981-06-03 21:03:05,1980
109,1981-06-03 21:11:03,1980
110,1981-06-03 21:19:00,1980
111,1981-06-03 21:26:04,1980
112,1981-06-03 21:34:02,1980
113,1981-06-03 21:41:05,1980
114,1981-06-03 21:49:03,1980
115,1981-06-03 21:57:00,1980
116,1981-06-03 22:04:04,1980
117,1981-06-03 22:12:02,1980
118,1981-06-03 22:19:05,1980
119,1981-06-03 22:27:03,1980
120,1981-06-03 22:35:01,1980
121,1981-06-03 22:42:04,1980
122,1981-06-03 22:50:02,1980
123,1981-06-03 22:58:00,1980
